School Sites,Address,Zip,Meal Service Time,Latitude,Longitude,Mobile Sites,Address,Zip,Meal Service Time,Latitude,Longitude
Brandeis Elem,2817 W. Kentucky Street,40211,10:00am - 1:00pm,38.244360,-85.800360,Holiday Park,8219 Minors Lane,40219,10:00am - 10:30am,,
Breck-Frank Elem,1351 Payne Street,40206,10:00am - 1:00pm,38.249890,-85.724310,Barrington Pointe,1321 Glengarry Drive,40118,11:00am - 11:30am,,
Camp Taylor Elem,1446 Belmar Drive,40213,10:00am - 1:00pm,38.196450,-85.719390,Shivley Apartments,3105 Clinton Place,40216,12:00pm - 12:30pm,,
Carter Elem,3600 Bohne Ave,40211,10:00am - 1:00pm,,,Watterson Lakeview Apartments,3703 W Wheatmore Dr,40215,1:00pm - 1:30pm,,
Chancey Elem,4301 Murphy Lane,40241,10:00am - 1:00pm,,,Derby Estates,5319 Rangeland Road,40219,10:00am - 10:30am,,
Conway Elem,6300 Terry Road,40258,10:00am - 1:00pm,,,Petersburg Park,5008 East Indian Trail,40218,11:00am - 11:30am,,
Coral Ridge Elem,10608 National Turnpike,40118,10:00am - 1:00pm,,,Carpenter Arms Apartments,3524 Georgetown Cir,40215,12:00pm - 12:30pm,,
Crums Lane Elem,3212 S. Crums Lane,40216,10:00am - 1:00pm,,,Partridge Pointe Apartments,3701 Dena Street,40215,1:00pm - 1:30pm,,
Doss High,7601 St. Andrews Church Rd,40214,10:00am - 1:00pm,,,,,,,,
Engelhard Elem,1004 S. 1st Street,40203,10:00am - 1:00pm,,,,,,,,
Fairdale High,1001 Fairdale Road,40118,10:00am - 1:00pm,,,,,,,,
Fern Creek Elem,8815 Ferndale Road,40291,10:00am - 1:00pm,,,,,,,,
Frayser Elem,1230 Larchmont Ave,40215,10:00am - 1:00pm,,,,,,,,
Greenwood Elem,5801 Greenwood Road,40258,10:00am - 1:00pm,,,,,,,,
Hazelwood Elem,1325 Bluegrass Ave,40215,10:00am - 1:00pm,,,,,,,,
Indian Trail Elem,3709 E. Indian Trail,40213,10:00am - 1:00pm,,,,,,,,
Jacob Elem,3701 E. Wheatmore Drive,40215,10:00am - 1:00pm,,,,,,,,
Jtown Elem,3610 Cedarwood Way,40299,10:00am - 1:00pm,,,,,,,,
Layne Elem,9831 East Ave,40272,10:00am - 1:00pm,,,,,,,,
Luhr Elem,6900 Fegenbush Lane,40228,10:00am - 1:00pm,,,,,,,,
Maupin Elem,1312 Catalpa Street,40211,10:00am - 1:00pm,,,,,,,,
McFerran Elem,1900 S. 7th Street,40208,10:00am - 1:00pm,,,,,,,,
Middletown Elem,218 N. Madison Ave,40243,10:00am - 1:00pm,,,,,,,,
Portland Elem,3410 Northwestern Parkway,40212,10:00am - 1:00pm,,,,,,,,
Rangeland Elem,1701 Rangeland Road,40219,10:00am - 1:00pm,,,,,,,,
Roosevelt Perry Elem,1615 W. Broadway,40203,10:00am - 1:00pm,,,,,,,,
Seneca High,3510 Goldsmith Lane,40220,10:00am - 1:00pm,,,,,,,,
Shawnee High,4001 Herman Street,40212,10:00am - 1:00pm,,,,,,,,
Shelby Elem,735 Ziegler Street,40217,10:00am - 1:00pm,,,,,,,,
Southern High,8620 Preston Highway,40219,10:00am - 1:00pm,,,,,,,,
St. Matthews Elem,601 Browns Lane,40207,10:00am - 1:00pm,,,,,,,,
Valley High,10200 Dixie Highway,40272,10:00am - 1:00pm,,,,,,,,
Watson Lane Elem,7201 Watson Lane,40272,10:00am - 1:00pm,,,,,,,,
Watterson Elem,3900 Breckenridge Lane,40218,10:00am - 1:00pm,,,,,,,,
Western Middle,2201 W. Main Street,40212,10:00am - 1:00pm,,,,,,,,
Westport Middle,8100 Westport Road,40242,10:00am - 1:00pm,,,,,,,,